sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
0,3.93117374313655,-74.29754695506617,nan,,,,,,,,,,
1,4.73751993593972,-74.0135969566841,ChIJs3s2v0qFP44ReDBETBcmZf8,19.0,Avenida Calle 127 #20-78,4.7068994,-74.0519893,9438.0,1555.0,Clínica Reina Sofía,Avenida Calle 127 #20-78,4.7068994,-74.0519893
2,4.064753062498704,-74.34976717409417,nan,,,,,,,,,,
3,3.782526538095148,-74.42730034868421,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,126011.0,14100.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
4,4.691346608130242,-74.13916569449725,ChIJHSf8h42cP44RUSZ6TQdNe7c,16.0,Cra 104 Clle 20C,4.678247199999999,-74.1438166,3665.0,734.0,Hospital Fontibon,Cra 104 Clle 20C,4.678247199999999,-74.1438166
5,3.771617202065307,-74.43250273769326,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,127842.0,14430.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
6,4.611521343219506,-74.08468454499607,ChIJV1agngyZP44R130lAuC2_sM,14.0,Calle 13 #17-21,4.6059452,-74.082898,1884.0,398.0,Clínica Centenario,Calle 13 #17-21,4.6059452,-74.082898
7,4.592914245971254,-74.05221403395602,ChIJOTrY2ayZP44RGqC9cPyUruM,24.0,Diagonal 4 #6A-11 Este,4.587393199999999,-74.0684826,4510.0,545.0,Sede Asistencial Laches - HOSPITAL CENTRO ORIENTE E.S.E. NIVEL II,Diagonal 4 #6A-11 Este,4.587393199999999,-74.0684826
8,4.329499603897672,-74.18165899644896,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,27262.0,3589.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
9,3.962697779805393,-74.33632916477812,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,95765.0,10255.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
10,4.507664935188264,-74.06770714731752,ChIJ_W3PucakP44R2wZBmu6HOTo,25.0,Carrera 6,4.4430825,-74.04684019999999,19994.0,2822.0,Centro de Salud Chipaque,Carrera 6,4.4430825,-74.04684019999999
11,4.335193724388537,-74.21787593661605,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,30401.0,3628.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
12,3.933253730874533,-74.32711915858911,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,97957.0,10513.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
13,3.993181353374128,-74.31798258088824,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,91124.0,9803.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
14,4.709128237607942,-74.07369508536459,ChIJs3s2v0qFP44ReDBETBcmZf8,19.0,Avenida Calle 127 #20-78,4.7068994,-74.0519893,4495.0,744.0,Clínica Reina Sofía,Avenida Calle 127 #20-78,4.7068994,-74.0519893
15,4.625099706315179,-74.14620927097266,ChIJ-9tmygKcP44R_TJv7rgzZjI,4.0,Avenida de las Américas #71C - 29,4.6294743,-74.135747,2839.0,412.0,Clínica del Occidente,Avenida de las Américas #71C - 29,4.6294743,-74.135747
16,4.098169219602581,-74.14321795427244,nan,,,,,,,,,,
17,4.507110368516416,-74.07024600797797,ChIJ_W3PucakP44R2wZBmu6HOTo,25.0,Carrera 6,4.4430825,-74.04684019999999,20180.0,2853.0,Centro de Salud Chipaque,Carrera 6,4.4430825,-74.04684019999999
18,4.069274186623997,-74.21877993558782,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,65700.0,6964.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
19,3.932277344432875,-74.26259395317689,nan,,,,,,,,,,
20,4.116959658387407,-74.14601987002749,nan,,,,,,,,,,
21,4.545131211965384,-74.04582288769087,ChIJ37HO4niiP44RssIgVcyc-J8,35.0,"Calle 43 Sur #12a Este-2 a 12a Este-32,,",4.5450643,-74.0850511,4146.0,1043.0,Center Altamira Health Care Priority,"Calle 43 Sur #12a Este-2 a 12a Este-32,,",4.5450643,-74.0850511
22,4.469683156535114,-74.09951303838909,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,7951.0,973.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
23,4.729799747235841,-74.05281785966851,ChIJs3s2v0qFP44ReDBETBcmZf8,19.0,Avenida Calle 127 #20-78,4.7068994,-74.0519893,3882.0,632.0,Clínica Reina Sofía,Avenida Calle 127 #20-78,4.7068994,-74.0519893
24,4.264232869927733,-74.19871436173163,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,39007.0,4193.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
25,4.39576404517157,-74.15931234839843,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,19735.0,2501.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
26,4.0334872474976,-74.34964531833157,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,83571.0,8869.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
27,4.505261217930758,-74.08261821988751,ChIJ_bN2q9KjP44RxgaZw6HWgtU,28.0,Carrera 1c Este #81a Sur,4.5080532,-74.1124672,5664.0,918.0,Unidad de Servicios de Salud - Yomasa,Carrera 1c Este #81a Sur,4.5080532,-74.1124672
