sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
0,23.761823159392183,113.8913532198838,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,59256,4514,从化市中心医院,China,23.549537,113.5846286
1,23.374793131223008,113.39137287378708,ChIJodebhEkeAzQRegf_R_gGTtc,58,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068,2071,466,Zhongluotan Hospital,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068
2,22.82590901699255,113.5041874934022,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,39451,2028,Nanfang Comprehensive Out-patient Department,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072
3,23.847837403135397,113.8572045094208,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,86863,6415,从化市中心医院,China,23.549537,113.5846286
4,23.51385289211724,113.75481276903722,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,4690,524,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
5,23.86182605288428,113.90886750593782,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,70012,3821,从化市中心医院,China,23.549537,113.5846286
6,23.62398455281861,113.74459480187042,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,29010,1954,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
7,23.46120058723114,113.09651317150458,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,25198,1493,Huashan Hospital,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349
8,23.640262918317315,113.55859593528524,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,10922,1051,从化市中心医院,China,23.549537,113.5846286
9,22.72198528252802,113.50149323283637,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,55305,2581,Nanfang Comprehensive Out-patient Department,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072
10,23.649047436538865,113.6622945653147,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,17063,1672,从化市中心医院,China,23.549537,113.5846286
11,23.31852814996544,113.25322122164218,ChIJ-bc7Nin7AjQRA9vnHhKQ9VA,30,"广花二路800, 广花一级公路, Bai Yun Qu, Guang Zhou Shi",23.274947,113.244736,16336,1186,Guangzhou Brain Hospital Jiangcun Yuanqu,"广花二路800, 广花一级公路, Bai Yun Qu, Guang Zhou Shi",23.274947,113.244736
12,23.46889669275512,113.8474910871914,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,8916,822,Paitan Hospital,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124
