sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
0,6.239034064146542,-75.64471613993577,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,6080,1155,IPS ADVENTIST UNIVERSITY,,6.2415056,-75.6080442
1,6.251336064730699,-75.64849214767032,ChIJaZZ-oIApRI4Rf6WSf41UQak,5,Carrera 105b #34bb-30,6.245975999999999,-75.6197976,3690,830,Health Center Villa Laura,Carrera 105b #34bb-30,6.245975999999999,-75.6197976
2,6.201369101181671,-75.67644791396734,ChIJUUF_piyCRo4R8M4m8pHdwtE,12,Calle 39 #49-37,6.168067,-75.6157719,9961,1698,Humanitas Eps,Calle 39 #49-37,6.168067,-75.6157719
3,6.168463413522302,-75.66177492228638,ChIJUUF_piyCRo4R8M4m8pHdwtE,12,Calle 39 #49-37,6.168067,-75.6157719,5949,983,Humanitas Eps,Calle 39 #49-37,6.168067,-75.6157719
4,6.3187233382911,-75.69504532765589,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,14787,1516,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
5,6.236240927789608,-75.60723912245449,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,701,118,IPS ADVENTIST UNIVERSITY,,6.2415056,-75.6080442
6,6.184131545938949,-75.56021441675162,ChIJPebK1vMoRI4R-mn4AoDQ4PM,0,Carrera 20 #2 Sur 185,6.193950699999999,-75.5574488,2798,433,Clínica El Rosario,Carrera 20 #2 Sur 185,6.193950699999999,-75.5574488
7,6.279341836307125,-75.53042528547292,ChIJae5hlE4vRI4RSlZ3bpbA60o,2,Carrera 33 #107B-15,6.295370499999999,-75.5433534,19522,3784,Health Center Santo Domingo Savio,Carrera 33 #107B-15,6.295370499999999,-75.5433534
8,6.23801797970806,-75.59692701138945,ChIJ5Swtq6IpRI4Ru477HoyFvpI,23,Avenida 33 #76-72,6.2391141,-75.5973176,232,70,Tejido Humano,Avenida 33 #76-72,6.2391141,-75.5973176
9,6.175153911828641,-75.67812165221974,ChIJUUF_piyCRo4R8M4m8pHdwtE,12,Calle 39 #49-37,6.168067,-75.6157719,8611,1639,Humanitas Eps,Calle 39 #49-37,6.168067,-75.6157719
10,6.335220027293079,-75.70119981672568,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,12948,1301,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
11,6.255487366250376,-75.4861118987377,ChIJae5hlE4vRI4RSlZ3bpbA60o,2,Carrera 33 #107B-15,6.295370499999999,-75.5433534,18205,3241,Health Center Santo Domingo Savio,Carrera 33 #107B-15,6.295370499999999,-75.5433534
12,6.264149588088594,-75.51919646755164,ChIJ99a72fooRI4Rp_xBuPado7I,52,Calle 59 #50C-15,6.257900399999999,-75.5653419,17280,2633,Urgencias Clínica CES,Calle 59 #50C-15,6.257900399999999,-75.5653419
13,6.279719842203995,-75.57738457137793,ChIJjxxoTiQpRI4RxOsLkaA6wDY,37,Carrera 72A #78b -50,6.27682,-75.58197190000001,779,219,Universidad Pontificia Bolivariana University Clinic,Carrera 72A #78b -50,6.27682,-75.58197190000001
14,6.282709832826998,-75.66538245293407,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,5450,949,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
15,6.227700479238168,-75.6530685421592,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,7096,1292,IPS ADVENTIST UNIVERSITY,,6.2415056,-75.6080442
16,6.262769218538078,-75.67897099270887,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,21769,3782,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
17,6.19959055172045,-75.63579472023696,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,5422,1272,Centro de Salud Belén Rincón,Calle 2b #100,6.2122757,-75.6035406
18,6.29992313320597,-75.60173933952338,ChIJE9rpm1ApRI4R21vmmETfKEQ,24,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001,5041,783,Unidad Hospitalaria Nuevo Occidente,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001
19,6.265117268195503,-75.69274196841963,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,23933,4148,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
20,6.293886757341262,-75.58117839080329,ChIJO0hBCNEuRI4R9zic1a3FSpc,9,Carrera 83b #97AA - 82,6.297180799999998,-75.5828885,769,171,Picachito Health Center,Carrera 83b #97AA - 82,6.297180799999998,-75.5828885
21,6.251796299532661,-75.70124966839128,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,26792,4589,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
22,6.294214724070518,-75.69422468565986,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,15757,1668,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
23,6.216055550607341,-75.60809769170973,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,1217,268,Centro de Salud Belén Rincón,Calle 2b #100,6.2122757,-75.6035406
24,6.211714523509987,-75.48748652650698,ChIJCZAfgfcoRI4RPrb1N9oAU-0,47,Carrera 45 #45-06,6.2409287,-75.5699405,29472,2765,Edesa Centro de Atención en Salud,Carrera 45 #45-06,6.2409287,-75.5699405
25,6.357298365633933,-75.67853159765191,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,24328,1916,Centro de Salud La Loma,Calle 55a #125a-5,6.272135099999999,-75.6322563
26,6.222423806108115,-75.57664878714849,ChIJi8DB2q0pRI4RjF4pLKz8X1I,39,Calle 34 #63A - 30,6.2403564,-75.57940239999999,2651,237,Clínica Orlant - Sede Principal (Clínica de Otorrinolaringología de Antioquia),Calle 34 #63A - 30,6.2403564,-75.57940239999999
27,6.251818082677062,-75.68201185873767,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,13068,2385,IPS ADVENTIST UNIVERSITY,,6.2415056,-75.6080442
28,6.229826169345834,-75.68845063865366,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,35083,5578,Centro de Salud Belén Rincón,Calle 2b #100,6.2122757,-75.6035406
29,6.301281287812815,-75.62911526972985,ChIJE9rpm1ApRI4R21vmmETfKEQ,24,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001,8283,1175,Unidad Hospitalaria Nuevo Occidente,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001
30,6.238610364419536,-75.69867667242472,ChIJP_nSYp4pRI4RumyOTv74yRI,14,Carrera 83 #37d-59,6.247156400000001,-75.6026789,41400,5498,Cruz Blanca Eps,Carrera 83 #37d-59,6.247156400000001,-75.6026789
31,6.305211683071166,-75.61679439423699,ChIJE9rpm1ApRI4R21vmmETfKEQ,24,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001,7519,1125,Unidad Hospitalaria Nuevo Occidente,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001
32,6.248754715640685,-75.6807961025871,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,13293,2427,IPS ADVENTIST UNIVERSITY,,6.2415056,-75.6080442
33,6.241571823843021,-75.48845320739386,ChIJY6NkV_goRI4RMlPFw9ilsNg,55,"Edifico Puerta Santa María, Carrera 47 #52-83 Interior 401",6.2503231,-75.5653346,22402,3000,IPS Casa Plankton,"Edifico Puerta Santa María, Carrera 47 #52-83 Interior 401",6.2503231,-75.5653346
34,6.221480422893354,-75.55722328234009,ChIJCZAfgfcoRI4RPrb1N9oAU-0,47,Carrera 45 #45-06,6.2409287,-75.5699405,6792,818,Edesa Centro de Atención en Salud,Carrera 45 #45-06,6.2409287,-75.5699405
35,6.216186452157186,-75.63255391295498,ChIJtSQh7ecpRI4R6R__yB9SNKI,45,Diagonal 75B #5-106,6.217148599999999,-75.5984526,6366,1144,Coomeva EPS,Diagonal 75B #5-106,6.217148599999999,-75.5984526
36,6.220738810089024,-75.65830405958,ChIJtSQh7ecpRI4R6R__yB9SNKI,45,Diagonal 75B #5-106,6.217148599999999,-75.5984526,9616,1719,Coomeva EPS,Diagonal 75B #5-106,6.217148599999999,-75.5984526
37,6.283767400506763,-75.51959106755118,ChIJae5hlE4vRI4RSlZ3bpbA60o,2,Carrera 33 #107B-15,6.295370499999999,-75.5433534,17311,3213,Health Center Santo Domingo Savio,Carrera 33 #107B-15,6.295370499999999,-75.5433534
