sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s,name,address,lat,lng
0,31.22291075397489,121.59752575677317,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,2901,371,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
1,31.409720629948733,121.70307281709924,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,22675,1621,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
2,31.06591388316353,121.74495986844902,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,31155,2297,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
3,30.85349085181778,121.63244221491024,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,39382,2679,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
4,30.799559219193373,121.19566617007156,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,55575,3176,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
5,31.064500937790545,121.70539774533324,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,28656,1992,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
6,31.067506872381333,121.4235265928744,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,6333,1160,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
7,30.837381080805155,121.39472332378271,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,33617,2271,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
8,31.591695130726063,121.50607194812046,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,64494,3565,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
9,31.090741618807886,121.48032314748286,ChIJE7Ir1yZ6sjUR0zhoXvHKZlU,43,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803,15834,1421,Huayang,"5G9M+JG3, Dong Shu Fang Lu, Pu Dong Xin Qu",31.169019,121.533803
10,31.032398882215176,121.7282800721225,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,33724,2321,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
11,30.75107264342257,121.31844816518166,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,46652,2538,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
12,31.02619220107258,121.18162802275135,ChIJcygxQldisjURIn0uekSvIw8,47,"104 Teng Chong Lu, Min Hang Qu",31.099721,121.395467,28127,2352,Kezhihao,"104 Teng Chong Lu, Min Hang Qu",31.099721,121.395467
13,30.85079583891845,121.76886474920472,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,54905,3453,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
14,31.20194775384887,121.34389980064716,ChIJv0lK7cdlsjURLHCiv04x09Q,25,"1139 Xian Xia Lu, Chang Ning Qu",31.208276,121.376323,4463,739,Shanghai United Family Hospital and Clinics,"1139 Xian Xia Lu, Chang Ning Qu",31.208276,121.376323
15,31.536680726988845,121.57569742818764,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,59792,3442,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
16,31.42446729269414,121.43493756782304,ChIJM_gs9VhtsjURR89GOdi5ivw,56,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179,8930,1111,Community Health Service Center of Yanghang Town,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179
17,30.9809124311446,121.26517168311986,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,22188,1144,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
18,31.375046241606253,121.73556242816474,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,23091,1641,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
19,31.335713278307043,121.84787640696996,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,38754,4860,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
20,31.42887461781413,121.40198862882052,ChIJM_gs9VhtsjURR89GOdi5ivw,56,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179,10120,1142,Community Health Service Center of Yanghang Town,"239 Yang Tai Lu, Bao Shan Qu",31.37121900000001,121.444179
21,30.853974586744272,121.10241953033304,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,58470,2893,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
22,31.0669729822342,121.73125530363824,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,29310,2155,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
23,30.91425150593389,121.47903323668376,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,17698,1442,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
24,31.21203380529589,121.72774662583991,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,6089,631,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
25,31.667968441469792,121.44473112439348,ChIJzU_JlbJ1sjURk5oMMcyoKnA,3,"7HVM+CMX, Lai Yang Lu, Pu Dong Xin Qu",31.293623,121.584244,75667,4396,Pujiang Dongxu Health Service Station,"7HVM+CMX, Lai Yang Lu, Pu Dong Xin Qu",31.293623,121.584244
26,30.91267102304839,121.78634279958064,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,47559,2693,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
27,31.21623388539484,121.51227863384234,ChIJua7busNwsjUR5k_CecB-ZEQ,57,"500 Zhang Yang Lu, Pu Dong Xin Qu",31.227179,121.517877,1933,312,Arrail Dental,"500 Zhang Yang Lu, Pu Dong Xin Qu",31.227179,121.517877
28,31.150581990211307,121.76277899804435,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,12124,1532,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
29,31.46991216621424,121.80010568045418,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,40756,2317,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
30,30.878675476351454,121.08303502704264,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,58184,2893,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
31,30.89111346669963,121.3947188500135,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,27564,1816,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
32,31.00029719539728,121.43438968702016,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,8600,892,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
33,31.107551278996183,121.33790219695057,ChIJcygxQldisjURIn0uekSvIw8,47,"104 Teng Chong Lu, Min Hang Qu",31.099721,121.395467,8424,1147,Kezhihao,"104 Teng Chong Lu, Min Hang Qu",31.099721,121.395467
34,31.11223340921474,121.03524123536192,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,4651,802,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
35,30.70467683078389,121.33053740328307,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,54212,2941,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
36,31.12145990621089,121.84888517012664,ChIJB03B4d-IrTURinaim1wTuec,45,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814,22548,2250,Huayang,"544 Cheng Nan Lu, Chuansha, Pu Dong Xin Qu",31.190866,121.696814
37,30.853410290616825,121.14707912992978,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,53386,2888,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
38,31.10712022114948,121.00956980104786,ChIJQwNCQM75sjUR8kYiToxA6Sc,59,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905,7099,1156,Huqing Out-patient Department,"15弄2 Xiang Ning Bang Lu, Qing Pu Qu, Shang Hai Shi",31.10835890000001,121.0663905
39,31.033962520085943,121.18346526722564,ChIJcygxQldisjURIn0uekSvIw8,47,"104 Teng Chong Lu, Min Hang Qu",31.099721,121.395467,28592,2380,Kezhihao,"104 Teng Chong Lu, Min Hang Qu",31.099721,121.395467
40,31.627658266848734,121.56664135701529,ChIJY-rwFJ91sjURlJjxNZmWbxA,0,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066,63539,3910,Gaohang Health Station,"7JW4+2R8, Jin Gao Lu, Pu Dong Xin Qu",31.295049,121.607066
41,30.733681814471748,121.30337153924243,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,48916,2379,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
42,30.951505239549206,121.57317458499922,ChIJ8ZjleFuIsjURZmHK15ByTik,54,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568,29822,1649,Minhang Voluntary Zixing Psychosis Kangfuyuan,"2CH8+GJ8, Deng Hui Lu, Min Hang Qu",31.02879799999999,121.416568
43,31.0859682135828,121.75327963380232,ChIJ1efgBjB2sjURc7a1anD44UM,27,"6JF8+HHW, Pudong",31.22399699999999,121.616444,34142,2110,Recovery Clinics,"6JF8+HHW, Pudong",31.22399699999999,121.616444
