sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
0,23.761823159392183,113.89135321988381,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,59256,4514
1,23.374793131223008,113.39137287378709,ChIJodebhEkeAzQRegf_R_gGTtc,58,"9CM5+F3P, Fu Long Lu, Bai Yun Qu, Guang Zhou Shi",23.3837151,113.4077068,2071,466
2,22.82590901699255,113.5041874934022,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,39451,2028
3,23.847837403135394,113.85720450942081,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,86863,6415
4,23.513852892117242,113.75481276903722,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,4690,524
5,23.86182605288428,113.90886750593782,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,70012,3821
6,23.623984552818612,113.74459480187042,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,29010,1954
7,23.46120058723114,113.09651317150458,ChIJkcw3wfjdAjQR7ba9wD_6h-4,27,"1 Yu Cai Lu, Hua Du Qu, Guang Zhou Shi",23.4575362,113.2799349,25198,1493
8,23.640262918317315,113.55859593528524,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,10922,1051
9,22.72198528252802,113.50149323283635,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,55305,2581
10,23.649047436538865,113.6622945653147,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,17063,1672
11,23.31852814996544,113.25322122164218,ChIJ-bc7Nin7AjQRA9vnHhKQ9VA,30,"广花二路800, 广花一级公路, Bai Yun Qu, Guang Zhou Shi",23.274947,113.244736,16336,1186
12,23.468896692755116,113.8474910871914,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,8916,822
13,23.363828532046366,113.75882558885603,ChIJjbtioGlHAzQRiTgUAfs60-0,52,"FQRH+CP3, 派潭镇, Pai Tan Da Dao Zhong, Zeng Cheng Qu, Guang Zhou Shi",23.4910248,113.7793124,25878,1993
14,22.794357047097417,113.54145254810038,ChIJmS4Cns8AAzQRXe6Fvnx7oe4,36,"3FX8+8J5, Huang Pu Dong Lu, Huang Pu Qu, Guang Zhou Shi",23.0982571,113.4666072,44563,2490
15,23.50242564946885,113.44144591287493,ChIJ2x0864UfAzQRmgY5E6xNtU0,21,"北兴镇花都大道北16号, Hua Du Qu, Guang Zhou Shi",23.433805,113.423999,16195,1982
16,23.248621411707784,113.68588201285942,ChIJp2sKvvEGAzQRH2qqOZJOIPI,39,"4J68+59R, Xintangzhen, Zengcheng District, Guangzhou",23.110477,113.615886,22794,1824
17,23.26320380033669,113.193013859188,ChIJk3--Qdf6AjQR9SSH0NiV9RQ,49,"76FM+8VW, 江同路, Jiang Tong Lu, Bai Yun Qu, Guang Zhou Shi",23.2733606,113.2346982,5212,833
18,23.711640377751408,113.44281533905325,ChIJh6FAiNA6AzQRuT6vVeUbr_o,29,China,23.549537,113.5846286,33594,3173
