sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
0,6.239034064146542,-75.64471613993577,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,6080,1155
1,6.251336064730699,-75.64849214767032,ChIJaZZ-oIApRI4Rf6WSf41UQak,5,Carrera 105b #34bb-30,6.245975999999999,-75.6197976,3690,830
2,6.201369101181671,-75.67644791396734,ChIJUUF_piyCRo4R8M4m8pHdwtE,12,Calle 39 #49-37,6.168067,-75.6157719,9961,1698
3,6.168463413522302,-75.66177492228638,ChIJUUF_piyCRo4R8M4m8pHdwtE,12,Calle 39 #49-37,6.168067,-75.6157719,5949,983
4,6.3187233382911,-75.69504532765589,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,14787,1516
5,6.236240927789608,-75.60723912245449,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,701,118
6,6.184131545938949,-75.56021441675162,ChIJPebK1vMoRI4R-mn4AoDQ4PM,0,Carrera 20 #2 Sur 185,6.193950699999999,-75.5574488,2798,433
7,6.279341836307125,-75.53042528547292,ChIJae5hlE4vRI4RSlZ3bpbA60o,2,Carrera 33 #107B-15,6.295370499999999,-75.5433534,19522,3784
8,6.23801797970806,-75.59692701138945,ChIJ5Swtq6IpRI4Ru477HoyFvpI,23,Avenida 33 #76-72,6.2391141,-75.5973176,232,70
9,6.175153911828641,-75.67812165221974,ChIJUUF_piyCRo4R8M4m8pHdwtE,12,Calle 39 #49-37,6.168067,-75.6157719,8611,1639
10,6.335220027293079,-75.70119981672568,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,12948,1301
11,6.255487366250376,-75.4861118987377,ChIJae5hlE4vRI4RSlZ3bpbA60o,2,Carrera 33 #107B-15,6.295370499999999,-75.5433534,18205,3241
12,6.264149588088594,-75.51919646755164,ChIJ99a72fooRI4Rp_xBuPado7I,52,Calle 59 #50C-15,6.257900399999999,-75.5653419,17280,2633
13,6.279719842203995,-75.57738457137793,ChIJjxxoTiQpRI4RxOsLkaA6wDY,37,Carrera 72A #78b -50,6.27682,-75.58197190000001,779,219
14,6.282709832826998,-75.66538245293407,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,5450,949
15,6.227700479238168,-75.6530685421592,ChIJuR6Y3popRI4RiDKnVRhOqxM,18,,6.2415056,-75.6080442,7096,1292
16,6.262769218538078,-75.67897099270887,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,21769,3782
17,6.19959055172045,-75.63579472023696,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,5422,1272
18,6.29992313320597,-75.60173933952338,ChIJE9rpm1ApRI4R21vmmETfKEQ,24,"Robledo la Aurora, Carrera 102c #63 B 65",6.2811828,-75.61280020000001,5041,783
19,6.265117268195503,-75.69274196841963,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,23933,4148
20,6.293886757341262,-75.58117839080329,ChIJO0hBCNEuRI4R9zic1a3FSpc,9,Carrera 83b #97AA - 82,6.297180799999998,-75.5828885,769,171
21,6.251796299532661,-75.70124966839128,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,26792,4589
22,6.294214724070518,-75.69422468565986,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,15757,1668
23,6.216055550607341,-75.60809769170973,ChIJr12B4eMpRI4RO3OiLfffJus,53,Calle 2b #100,6.2122757,-75.6035406,1217,268
24,6.211714523509987,-75.48748652650698,ChIJCZAfgfcoRI4RPrb1N9oAU-0,47,Carrera 45 #45-06,6.2409287,-75.5699405,29472,2765
25,6.357298365633933,-75.67853159765191,ChIJ-7OH4OcrRI4R6hg1C5CDY_0,8,Calle 55a #125a-5,6.272135099999999,-75.6322563,24328,1916
26,6.222423806108115,-75.57664878714849,ChIJi8DB2q0pRI4RjF4pLKz8X1I,39,Calle 34 #63A - 30,6.2403564,-75.57940239999999,2651,237
