sample_idx,sample_lat,sample_lng,place_id,hosp_name,hosp_addr,hosp_lat,hosp_lng,dist_m,dur_s
0,3.32063419737536,-76.63910853731477,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,16732.0,2660.0
1,3.455003494881206,-76.66767423351344,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,26597.0,3518.0
2,3.490989655588787,-76.53352133922006,ChIJaRHugD-mMI4RfhhpRDDhcBs,3.0,Avenida 2c Norte #24N-120,3.4632635,-76.5230681,4859.0,918.0
3,3.340151761563243,-76.63579494493803,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,17386.0,2759.0
4,3.345445199446269,-76.62929629317283,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,17868.0,2872.0
5,3.328566026543789,-76.62529868240004,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,14908.0,2223.0
6,3.408052069834048,-76.49117105641996,ChIJGRVThTKhMI4RT3ddPa1B5mA,0.0,Cra 48 cll 44,3.4020939,-76.5147929,4031.0,817.0
7,3.469920903470466,-76.64598957547919,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,20511.0,2710.0
8,3.355623880726538,-76.53238765044843,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,3547.0,538.0
9,3.428152730977141,-76.68651516336362,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,26867.0,3545.0
10,3.535371872694697,-76.58935849450627,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,20733.0,3770.0
11,3.460424084584275,-76.53954454747915,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,1936.0,475.0
12,3.462101330814404,-76.57582109031803,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,7344.0,1087.0
13,3.396219165071029,-76.59366961587855,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,8797.0,1490.0
14,3.344079481356273,-76.50597153148559,ChIJkw8p-nqhMI4RqhoaK0nBWUw,9.0,"C.C. Unicentro, Paso Ancho #5-169 Local 107",3.3751887,-76.5380328,6565.0,928.0
15,3.384490598949951,-76.61766484845836,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,13079.0,2294.0
16,3.356136690937027,-76.51151084406416,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,4408.0,730.0
17,3.402447119911537,-76.57444083029945,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,5130.0,896.0
18,3.527156234402864,-76.61599037653815,ChIJD33o0XqmMI4RURdOi9Wv2L4,7.0,Avenida Colombia #6-10,3.4517843,-76.537489,20699.0,2519.0
19,3.410669079876758,-76.68572917309083,,,,,,,
20,3.339686567742464,-76.59471787304379,ChIJsw8XqJimMI4RGjgiUp5VSVo,10.0,Calle 15 A #101-51,3.3664675,-76.5317343,10726.0,1354.0
21,3.377599181096527,-76.65633168279214,ChIJpQ3x5gOkMI4ROCVT-YnmG8k,4.0,Calle 2b #55-02,3.4098814,-76.5533839,15634.0,2887.0
22,3.436881233124047,-76.63243669794211,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,18253.0,2421.0
23,3.429130950814296,-76.50050959950045,ChIJz8U5S6WmMI4RXL7vASOd61U,46.0,Calle 10 ##487,3.4152598,-76.5377273,5851.0,650.0
24,3.425141530173007,-76.67497431959231,ChIJy-FX2iGkMI4RTYaVOMByVPE,14.0,"Calle 1 Oeste #39-42, Local: 3",3.4247256,-76.5525814,26867.0,3545.0
